
Title,Abstract
A toolbox for surfacing health equity harms and biases in large language models,"LLMs hold promise for healthcare but may amplify health disparities. This paper introduces a human assessment framework and the EquityMedQA dataset to evaluate equity‑related harms in medical question answering. The authors conduct a case study with Med‑PaLM 2, revealing biases not captured by standard automated metrics. The work highlights the importance of diverse raters and encourages the development of more comprehensive evaluation methodologies to identify and mitigate health equity harms in LLMs."
The clinicians’ guide to large language models: A general perspective with a focus on hallucinations,"Large language models have the potential to transform clinical practice, yet hallucinations—generation of false content—pose serious risks to patient care. This article explains how hallucinations arise from training data and the autoregressive nature of LLMs and examines their impact on diagnostic accuracy and clinical reasoning. It proposes a technical framework to support clinicians in general practice and institutional implementation, aiming to reduce hallucination risks and promote safe use of LLMs."
Implications of large language models for quality and efficiency of neurologic care: Emerging issues in neurology,"LLMs are sophisticated AI systems that could improve tasks in neurology, but their performance in day‑to‑day practice remains uncertain. The commentary discusses challenges including limited clinical reasoning, reliability and reproducibility bias, self‑serving and sponsorship bias, and the potential to exacerbate health disparities. It advises healthcare organisations to develop the necessary infrastructure, ensure data privacy, engage patients and clinicians and adhere to guidelines like SPIRIT‑AI, MI‑CLAIM and CONSORT‑AI for ethical deployment."
Evaluation and mitigation of cognitive biases in medical language models,"Interest in applying LLMs to medicine is growing, but the authors hypothesise that these models perform worse on clinically biased questions than on neutral ones. They build the BiasMedQA dataset by modifying USMLE questions to induce cognitive biases and evaluate six models. GPT‑4 shows the least performance drop, whereas Llama 2 70B‑chat and PMC Llama 13B exhibit significant declines. The study introduces three mitigation strategies that improve but do not fully restore accuracy, underscoring the need for robust bias mitigation."
DiversityMedQA: A benchmark for assessing demographic biases in medical diagnosis using large language models,"This work introduces DiversityMedQA, a benchmark derived from MedQA that perturbs questions with gender and ethnicity variations while ensuring the clinical outcome remains unchanged. The benchmark exposes model performance differences across demographic groups and reveals notable disparities in diagnostic accuracy. DiversityMedQA serves as a resource to assess and address demographic bias in medical diagnosis using LLMs."
Africa health check: Probing cultural bias in medical LLMs,"LLMs often reflect Western‑centric training data and overlook indigenous medical systems. This study compiles a dataset of African traditional herbal medicine and tests models using multiple‑choice and fill‑in‑the‑blank tasks. The authors introduce measures such as the Cultural Bias Score and Cultural Bias Attribution and find that prompt adaptation can reduce bias, though models still default to allopathic treatments. The work emphasises the need for culturally informed evaluation strategies."
Prompt engineering techniques for mitigating cultural bias against Arabs and Muslims in large language models: A systematic review,"A mixed‑methods systematic review of eight empirical studies (2021–2024) examines prompt engineering strategies for reducing cultural bias toward Arabs and Muslims in LLM outputs. Five approaches emerge: cultural prompting, affective priming, self‑de‑biasing, structured multi‑step pipelines and parameter‑optimised continuous prompts. Structured pipelines achieve up to 87.7 % bias reduction but require technical expertise, whereas cultural prompting is more accessible. The authors call for more research on culturally adaptive prompts and evaluation resources."
Measuring South Asian biases in large language models,"This study addresses intersectional, culturally specific biases often missed in evaluations. Researchers analyse LLM outputs across ten Indo‑Aryan and Dravidian languages, introducing a culturally grounded bias lexicon covering gender, religion, marital status and number of children. The lexicon quantifies bias and allows assessment of self‑de‑biasing methods. Experiments test simple and complex prompt strategies to reduce culturally specific biases, providing a nuanced lens beyond Eurocentric evaluations."
Two‑eyed seeing and artificial intelligence: Enhancing healthcare delivery in Indigenous communities requires an ethical and culturally relevant public health framework,"Artificial intelligence could greatly improve healthcare access and outcomes for underserved rural, remote and Indigenous populations. This commentary argues that such benefits will only be realised if AI systems are developed and deployed in culturally safe and ethical ways. It advocates integrating AI with Indigenous knowledge through the Two‑Eyed Seeing approach and emphasises the importance of a culturally appropriate public health framework for AI‑driven healthcare innovations."
GPT‑5.2 (documentation),"OpenAI’s documentation for the gpt‑5.4 model (the default general‑purpose successor to gpt‑5.2) highlights improvements over earlier versions. Enhancements include better coding and document understanding, more reliable tool use and instruction following, improved perception of images, the ability to execute long‑running tasks, greater token efficiency and support for agentic workflows. The model integrates coding capabilities from the gpt‑5.3‑Codex variant and introduces multi‑step task execution and more responsive behaviours."
MedGemma,"MedGemma is a family of open models built on the Gemma 3 architecture designed for medical text and image understanding. The 4 billion‑parameter and 27 billion‑parameter variants support tasks such as medical image interpretation, text comprehension, clinical reasoning and extraction of structured data from unstructured reports. The models are not clinical‑grade and typically require fine‑tuning or prompt engineering for specific use cases. They are intended as research tools rather than ready‑to‑deploy systems."
DeepSeek‑R1: Incentivizing reasoning capability in LLMs via reinforcement learning,"Reasoning remains a longstanding challenge in AI. Many LLMs rely on extensive human‑annotated demonstrations and struggle with complex problems. DeepSeek‑R1 shows that pure reinforcement learning can incentivise the development of advanced reasoning behaviours without human‑labelled trajectories. The proposed framework fosters emergent patterns such as self‑reflection, verification and dynamic strategy adaptation. As a result, the trained model outperforms supervised models on mathematics, coding competitions and other STEM tasks, and the emergent reasoning strategies can be distilled to improve smaller models."
The Llama 3 Herd of Models,"Llama 3 is a suite of foundation models that natively support multilinguality, coding, reasoning and tool use. The largest model has 405 billion parameters and a context window of up to 128 k tokens. An extensive empirical evaluation shows that Llama 3 matches the quality of leading models such as GPT‑4 on diverse benchmarks. Meta releases pre‑trained and post‑trained versions, including Llama Guard 3 for safety. Experiments integrating image, video and speech capabilities via a compositional approach produce competitive results, but these multimodal models are still under development and not yet widely released."
